Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation
01-01-2023,2.304731208,1.163138398,23.55622121,143.0365067,6.945185375,2.221264854,5.432176781
02-01-2023,2.359997105,1.320765488,23.60450798,146.0280935,4.022733345,3.498270569,3.857109455
03-01-2023,2.304319883,0.895087829,23.65652118,143.0142044,1.818393586,10.51750774,4.604898876
04-01-2023,2.237839619,0.686583905,23.71223543,139.4022936,1.709197221,12.34613589,5.175936654
05-01-2023,2.132585534,0.64003579,23.77162336,133.6532516,1.764456819,11.53570015,5.040115358
06-01-2023,2.071315357,0.747760129,23.83465565,130.2887486,2.010160324,9.003007071,4.394301425
07-01-2023,2.058437766,0.925089882,23.90130102,129.5798827,2.180948204,7.125359263,3.872762114
08-01-2023,2.081738066,1.138221607,23.97152624,130.8620397,2.901546485,4.47180618,3.43536276
09-01-2023,2.109817955,1.153070898,24.04529613,132.4045947,3.329553098,3.963771936,3.543493872
10-01-2023,2.133082218,1.161330941,24.12257358,133.6804711,3.568477737,3.768453031,3.635507293
11-01-2023,2.194956406,1.826444476,24.20331959,137.0645821,2.057972663,2.486303971,2.199168414
12-01-2023,2.157762437,1.08498167,24.2874932,135.0319142,2.469235498,6.053387805,3.662584217
13-01-2023,2.169686525,0.902558434,24.37505162,135.6840925,3.563368095,4.972476213,4.031026029
14-01-2023,2.085623893,0.711188674,24.46595014,131.075675,2.483836642,7.7665952,4.277799186
15-01-2023,2.043521466,0.690835939,24.56014221,128.758033,3.593048468,5.304347688,4.181051751
16-01-2023,2.05801611,0.662468979,24.65757944,129.5566617,3.281113155,6.016460635,4.217168927
17-01-2023,2.032225285,0.630542378,24.75821163,128.135096,2.83694993,7.017537069,4.277978057
18-01-2023,2.025372776,0.79861506,24.86198676,127.7569781,3.550769749,4.927645492,4.02629169
19-01-2023,2.026821383,0.846780697,24.96885106,127.836926,2.445934773,6.910635821,3.987245921
20-01-2023,2.00993589,1.022258089,25.078749,126.9045364,2.049384471,6.933700187,3.743646918
21-01-2023,1.995619617,1.005507711,25.19162333,126.1131758,2.312341011,6.188079629,3.662247971
22-01-2023,1.998524817,0.892296468,25.30741511,126.2738291,2.293316415,7.003190361,3.932389208
23-01-2023,1.968456463,0.896931038,25.42606375,124.6095401,2.013425367,7.762710931,4.031563877
24-01-2023,1.952197934,0.829445177,25.54750701,123.7081841,2.951153843,5.5758123,3.876817916
25-01-2023,1.95609311,0.725395101,25.67168107,123.9242216,3.005133825,6.031277743,4.0711886
26-01-2023,1.916849427,0.561021288,25.79852055,121.7449527,1.795828204,11.17382833,5.137589112
27-01-2023,1.883817822,0.622174943,25.92795855,119.9059402,1.675143277,11.20263393,5.103506889
28-01-2023,1.851924826,0.75492126,26.0599267,118.1261539,2.234144309,7.340697803,4.08930973
29-01-2023,1.859714422,0.939493458,26.19435518,118.5612335,3.042656804,4.544794016,3.587093116
30-01-2023,1.940480703,1.048581889,26.33117279,123.0579584,3.461606562,3.892023216,3.613924075
31-01-2023,1.9639773,0.82792828,26.47030697,124.3613216,1.929318645,8.941686229,4.394015754
01-02-2023,1.963770772,0.814354043,26.61167866,124.3498748,7.846039471,2.236488319,5.87428461
02-02-2023,2.003751703,0.909966331,26.75522302,126.5627879,4.559685289,3.681909899,4.254667703
03-02-2023,2.096882053,0.990773123,26.90085875,131.6943194,2.067774404,8.255211906,4.16242627
04-02-2023,2.180939991,1.177713302,27.04850841,136.2991395,1.949678492,7.984481805,3.946475063
05-02-2023,2.290316199,1.72330803,27.19809349,142.2545868,2.018787728,4.382323767,2.778620038
06-02-2023,2.38216867,1.831567099,27.34953447,147.2255201,2.306597162,3.745268603,2.758390849
07-02-2023,2.424936666,1.294781712,27.50275084,149.5309542,2.509573642,7.105285307,3.937451777
08-02-2023,2.493806939,1.454601176,27.6576612,153.2316356,3.347721328,4.925326644,3.829658553
09-02-2023,2.494167727,1.804754345,27.81418332,153.2509845,3.851431056,2.85621721,3.547433259
10-02-2023,2.521144519,1.952077043,27.97223418,154.6966349,4.137962086,2.206844595,3.551922955
11-02-2023,2.632348133,1.704584848,28.13173005,160.63341,2.391999626,6.259503031,3.535120406
12-02-2023,2.561570002,0.869798982,28.29258657,156.858958,2.876421148,9.546168583,4.880983112
13-02-2023,2.550123577,0.770422535,28.4547188,156.2471851,4.159771176,6.983919904,5.010877905
14-02-2023,2.614191366,1.32228801,28.61804132,159.6665142,2.905365999,7.300227956,4.209889904
15-02-2023,2.717949136,1.725528285,28.78246825,165.1794421,4.210757518,3.891625319,4.118275095
16-02-2023,2.777255744,1.598195966,28.94791339,168.3172624,3.852015549,5.083143796,4.204039168
17-02-2023,2.873314128,1.63081973,29.11429023,173.3797106,3.336096519,6.220558488,4.143526415
18-02-2023,2.978339698,1.588457302,29.28151208,178.8875468,4.181962942,5.582885388,4.565344782
19-02-2023,3.011476833,1.647729609,29.44949211,180.6196202,2.88485588,7.986470752,4.271233467
20-02-2023,2.895245991,1.978801053,29.61814343,174.5321923,2.420334571,6.43363092,3.538400635
21-02-2023,2.980819816,2.271276298,29.78737921,179.0172761,2.734185791,4.434561146,3.19927209
22-02-2023,2.95538791,2.047202074,29.95711268,177.6862643,2.714664375,5.749444312,3.549244675
23-02-2023,2.98661704,2.050505001,30.12725728,179.3204564,2.385700935,6.781702975,3.58661691
24-02-2023,3.032834211,1.938211691,30.29772671,181.7345377,3.499881714,5.436111981,4.023702784
25-02-2023,3.057710866,1.869495432,30.468435,183.0317722,3.566643118,5.823083527,4.173930613
26-02-2023,3.103475693,1.966022301,30.63929661,185.4143621,2.132793348,9.374129784,4.063324793
27-02-2023,3.143059801,1.759329885,30.81022649,187.4711568,1.99057491,12.28669377,4.713356175
28-02-2023,3.189995247,1.630572205,30.98114016,189.9051709,2.656044999,10.43501923,4.693714359
01-03-2023,3.184240182,1.627431652,31.15196346,189.6069955,3.618517537,7.688777331,4.685941829
02-03-2023,3.170013483,1.581522778,31.32259412,188.8695676,4.117799773,6.931775898,4.857887613
03-03-2023,3.180594648,1.527395428,31.49295938,189.4180772,2.295400419,13.01210462,5.107919969
04-03-2023,3.197345025,1.583331924,31.66297787,190.2858588,2.702071291,10.84999025,4.833231071
05-03-2023,3.290287261,1.599897858,31.83256913,195.0892473,4.303875842,7.172425676,5.040440333
06-03-2023,3.305859306,1.476305126,32.00165378,195.8921296,6.889343516,4.875365681,6.373786494
07-03-2023,3.334732694,1.746768258,32.1701535,197.3793947,7.101263873,4.126915652,6.344138983
08-03-2023,3.368549234,1.62960459,32.33799119,199.1189476,3.470540198,9.295420802,4.943594764
09-03-2023,3.401629547,1.240449416,32.50509095,200.818217,3.803303887,10.59616379,5.510267577
10-03-2023,3.431628867,1.202558936,32.67137823,202.3571809,7.066673801,5.912122752,6.778204221
11-03-2023,3.427507304,1.168870068,32.83677986,202.1458593,4.598171833,9.253141143,5.762147909
12-03-2023,3.454818308,1.208249206,33.00122408,203.5454797,2.707490062,15.70906359,5.941742418
13-03-2023,3.513790399,1.340925057,33.16464068,206.5622713,2.37106863,17.4353762,6.077178693
14-03-2023,3.488204095,1.464800631,33.32696099,205.2542693,4.394008649,8.804093237,5.484179369
15-03-2023,3.433868062,1.967292245,33.48811797,202.4719742,2.812255846,10.01861691,4.612030488
16-03-2023,3.439464752,2.149203392,33.64804627,202.758844,4.891926361,5.091256428,4.941655795
17-03-2023,3.467296066,2.100244277,33.80668226,204.184406,6.277186903,4.22366824,5.767558387
18-03-2023,3.485857273,1.868596868,33.96396412,205.1342283,7.505286246,4.198541064,6.687500434
19-03-2023,3.442419822,1.851142923,34.11983184,202.9102853,4.957572311,6.282766523,5.288000322
20-03-2023,3.529408244,1.921670187,34.27422729,207.3600028,5.947406288,5.315237751,5.792332191
21-03-2023,3.50064029,2.053585302,34.42709428,205.8901933,6.183083079,4.622188578,5.798128581
22-03-2023,3.457513618,2.140194141,34.57837857,203.6835215,3.949741332,6.615983621,4.61265411
23-03-2023,3.440327337,2.277722735,34.72802791,202.8030516,2.619240443,8.843091726,4.171730594
24-03-2023,3.288695835,1.893138298,34.87599209,195.0071641,3.445752627,8.103218683,4.642035561
25-03-2023,3.356032281,1.828907293,35.02222297,198.4753562,3.188518114,9.622695472,4.819596526
26-03-2023,3.407968789,1.661245412,35.16667449,201.143581,4.152577695,8.486038651,5.240204766
27-03-2023,3.435374873,1.604679672,35.3093027,202.5492154,4.302728852,8.618437644,5.380260313
28-03-2023,3.415676612,1.889247978,35.45006579,201.5390714,3.942212915,7.874460553,4.927690739
29-03-2023,3.391895016,2.33802745,35.58892412,200.3184198,5.502587504,3.910220775,5.101697951
30-03-2023,3.408741073,2.027952838,35.72584019,201.1832129,5.654299766,5.004930353,5.491342826
31-03-2023,3.380406693,2.25541523,35.8607787,199.7283144,4.162104443,5.560621148,4.514968669
01-04-2023,3.40921272,2.079567624,35.99369584,201.2074161,5.454122272,5.033900733,5.348678676
02-04-2023,3.406192432,2.206665305,36.12458209,201.0524176,4.330235181,5.740751659,4.684371722
03-04-2023,3.455631688,2.527529717,36.25339801,203.587139,3.875255072,4.980941705,4.150261772
04-04-2023,3.526910444,2.138043688,36.38011704,207.2324537,4.093825612,7.080479574,4.826807
05-04-2023,3.518989151,1.933933753,36.50471483,206.8278705,5.843957689,5.68006991,5.803677187
06-04-2023,3.596132319,1.962013026,36.6271692,210.7624801,7.590874865,4.523375259,6.847606135
07-04-2023,3.637289027,1.949367263,36.74746016,212.8566689,6.785931244,5.243696221,6.415033235
08-04-2023,3.602153218,1.938825628,36.86556983,211.0690573,9.6639127,3.640098055,8.205922678
09-04-2023,3.618578989,1.919475461,36.98148249,211.9050648,7.330709643,4.917286114,6.748318679
10-04-2023,3.556644364,1.909183389,37.09518454,208.7499659,11.48983136,3.051310164,9.430239115
11-04-2023,3.57863585,2.22472367,37.20666446,209.8711613,6.81351415,4.241382196,6.188271723
12-04-2023,3.6616347,2.133416054,37.31591279,214.0938524,6.519314585,5.018165308,6.159884138
13-04-2023,3.744575987,2.137372574,37.4229221,218.2998862,5.049286108,6.833542502,5.470213405
14-04-2023,3.679290887,2.45874455,37.52768698,214.9903536,4.759543375,5.520877595,4.94125612
15-04-2023,3.723439036,2.660507201,37.63020397,217.2292958,5.552371814,4.132670542,5.216187636
16-04-2023,3.765919133,2.73906433,37.73047153,219.3800375,3.828386899,5.805675911,4.293095952
17-04-2023,3.895837262,2.561578819,37.82849003,225.9362037,4.448540191,6.508917781,4.921954137
18-04-2023,3.955037418,2.301397254,37.92426168,228.913145,5.656829293,6.359931114,5.816758285
19-04-2023,3.855540646,2.032050951,38.01779046,223.9061082,6.254090464,6.359066483,6.278378947
20-04-2023,3.842528087,2.311352889,38.10908214,223.2498976,6.591049617,5.07885872,6.240381451
21-04-2023,3.785281098,2.452572039,38.19814418,220.3591602,4.558471536,6.406571895,4.991340343
22-04-2023,3.826544724,2.328132412,38.28498567,222.4434328,4.892384454,6.726770059,5.318951268
23-04-2023,3.898140764,2.447241777,38.36961732,226.0521594,3.287680861,9.71409464,4.763697564
24-04-2023,3.925082378,1.9563026,38.45205139,227.4076364,2.666132975,16.28929116,5.780709221
25-04-2023,3.93538213,1.855860591,38.53230159,227.925478,3.8999992,11.7866719,5.699917526
26-04-2023,3.834590494,1.973078262,38.6103831,222.8494549,4.928025915,8.366895799,5.726579801
27-04-2023,3.835928597,2.442887277,38.68631242,222.9169691,4.583652475,6.744922888,5.085413107
28-04-2023,3.892467902,2.561296769,38.76010739,225.766576,3.579760521,8.268604648,4.657741846
29-04-2023,3.832188084,2.470785334,38.83178709,222.7282325,3.25328585,9.322215011,4.663165275
30-04-2023,3.817564257,2.416101785,38.90137176,221.9900965,3.231760438,9.677753746,4.73305559
01-05-2023,3.879415385,2.342343966,38.96888277,225.1092572,3.14979703,10.90929715,4.937741497
02-05-2023,3.912133257,2.612479124,39.03434253,226.7563133,2.969247443,9.801569153,4.534736479
03-05-2023,3.922319873,2.625667052,39.09777444,227.2687123,3.011977087,9.655870237,4.531644359
04-05-2023,4.047086948,2.500471375,39.15920283,233.5291908,2.607861956,13.3229059,5.007742008
05-05-2023,4.082975352,2.538276123,39.21865284,235.3247622,3.284343155,10.58169922,4.909059267
06-05-2023,4.039878668,2.640285444,39.27615044,233.1682676,3.467360654,9.094923865,4.729296132
07-05-2023,4.009826066,2.559238003,39.33172229,231.6625061,5.416904719,6.042312813,5.557853533
08-05-2023,4.075404461,2.679252373,39.3853957,234.9461661,5.049347718,6.247409915,5.316423677
09-05-2023,4.179726057,2.383586819,39.43719856,240.1540564,4.52340935,8.983539969,5.500840138
10-05-2023,4.25763921,2.036092636,39.48715928,244.0312611,3.863162688,13.02673728,5.846344869
11-05-2023,4.230405745,2.034880144,39.53530672,242.6772214,4.484984999,11.10273468,5.92345354
12-05-2023,4.120462504,2.344834889,39.5816701,237.1978784,3.625838235,11.12000339,5.284112199
13-05-2023,4.148320303,2.647145495,39.62627898,238.5882423,3.491473963,9.77401702,4.875329103
14-05-2023,4.108836324,3.003661617,39.66916314,236.6172201,3.155219496,7.971163866,4.222904578
15-05-2023,4.078783778,3.178138238,39.71035257,235.1151676,3.178429246,6.455240626,3.908498713
16-05-2023,4.118123685,3.175075846,39.74987737,237.0810875,3.307469903,6.501910015,4.014591864
17-05-2023,4.196065557,3.010536131,39.78776768,240.9680268,2.987487482,9.057808937,4.31427765
18-05-2023,4.260580256,3.101415229,39.82405365,244.1774135,2.98828051,8.862101305,4.258897392
19-05-2023,4.221439774,3.158294249,39.85876537,242.2311587,3.048174113,7.975246689,4.120691146
20-05-2023,4.114441992,3.008036793,39.89193278,236.8972195,2.707144849,9.353090375,4.179181725
21-05-2023,4.075142402,2.980122347,39.92358565,234.9330595,2.693275951,9.311895594,4.168784335
22-05-2023,4.124328128,3.072163817,39.95375351,237.3908905,2.801687034,8.607734644,4.085608638
23-05-2023,4.130623189,3.210716159,39.98246557,237.7051491,2.83125237,7.452504817,3.852121457
24-05-2023,4.203074932,3.177871448,40.00975069,241.3170653,3.651626497,6.444020411,4.261269989
25-05-2023,4.077327206,3.245663949,40.03563735,235.0423261,6.072105,3.145736397,5.419956716
26-05-2023,4.038573745,3.329546037,40.06015353,233.1029193,4.692945936,3.472143005,4.419131233
27-05-2023,4.102523654,3.313891991,40.08332673,236.3018401,3.472702576,5.222010223,3.860923258
28-05-2023,4.264545419,3.188735175,40.10518386,244.374435,3.756310079,6.589342627,4.368760531
29-05-2023,4.355501103,3.103793905,40.12575125,248.8865791,5.212688782,5.527534575,5.279781754
30-05-2023,4.37948493,2.848050534,40.14505456,250.0740726,6.312591783,5.5871468,6.158579231
31-05-2023,4.251190396,2.984030621,40.16311877,243.7107423,5.167944523,5.649477758,5.272265382
01-06-2023,4.133950222,3.077284139,40.17996812,237.8712113,2.166133202,11.24422519,4.170460428
02-06-2023,4.323246159,3.292834046,40.19562605,247.2880577,2.368635181,10.03133918,4.009835847
03-06-2023,4.350763457,3.216091201,40.21011521,248.6518948,2.581149338,10.14051378,4.193230048
04-06-2023,4.297065622,3.137624236,40.22345738,245.9892987,2.852644787,9.378812152,4.256214348
05-06-2023,4.333528327,3.287456685,40.23567346,247.7978195,2.7286354,8.849006882,4.037378711
06-06-2023,4.259319591,3.314488386,40.24678343,244.1147678,2.531260109,8.618188093,3.848240839
07-06-2023,4.391432161,3.300137487,40.25680631,250.6652525,2.792361964,9.025618623,4.113227716
08-06-2023,4.297828833,3.175692524,40.26576014,246.0271762,2.659255637,9.747399527,4.183504121
09-06-2023,4.372824346,3.075146967,40.27366195,249.7443875,2.712001696,11.05516519,4.485103291
10-06-2023,4.504512405,3.034472852,40.28052775,256.2492194,3.203014082,10.60553697,4.744590618
11-06-2023,4.676222423,2.742703665,40.28637248,264.6893758,2.865366093,15.59530148,5.449000823
12-06-2023,4.451352548,2.829041416,40.29120999,253.6267396,2.046981492,18.31883624,5.463279498
13-06-2023,4.302328494,3.161955232,40.29505306,246.2504707,1.962856136,13.4300499,4.427028621
14-06-2023,4.220795511,3.074812647,40.29791332,242.1991008,1.856225371,14.27241009,4.559239842
15-06-2023,4.059950638,3.285391081,40.29980127,234.1730525,1.217263513,14.71094105,4.233029871
16-06-2023,4.042553087,3.382844295,40.30072629,233.3021884,1.37596643,11.0847179,3.552105727
17-06-2023,4.193053664,3.582049648,40.30069658,240.8180208,1.936341634,7.295280126,3.108214886
18-06-2023,4.261700014,3.440207608,40.29971916,244.2330548,2.375351614,7.995488545,3.590874881
19-06-2023,4.2526629,3.366346542,40.29779988,243.7839349,2.706205518,7.57140825,3.759970277
20-06-2023,4.213916641,3.29759725,40.2949434,241.8567716,2.833295987,7.476060698,3.845148823
21-06-2023,4.090188207,3.346931804,40.2911532,235.6853595,2.872086335,5.981611532,3.563581294
22-06-2023,4.110874269,3.358931977,40.28643155,236.7190206,3.017937885,5.758380439,3.62528506
23-06-2023,4.227022588,3.364031007,40.28077954,242.5089234,3.203744799,6.224634422,3.860737693
24-06-2023,4.233270898,3.386786654,40.27419705,242.8197356,3.380154095,5.785975742,3.902855781
25-06-2023,4.201089027,3.392183241,40.26668277,241.2181838,3.455425409,5.407662898,3.881780088
26-06-2023,4.181203076,3.443075398,40.25823422,240.2276548,3.491710928,4.882196661,3.796360842
27-06-2023,4.314332022,3.451485109,40.2488477,246.845976,4.593186423,4.337509778,4.538348471
28-06-2023,4.312511836,3.500589127,40.23851838,246.7556906,3.872614648,4.839714291,4.080099401
29-06-2023,4.14242473,3.554947074,40.22724023,238.2941117,2.83106855,4.788820358,3.262717269
30-06-2023,4.156131231,3.481449094,40.2150061,238.9778366,2.64418682,5.886573256,3.357478774
